A2R8IV2PWFTY00, 0, 1491851831299, blicket, square, big, red, not_striped, 
A2R8IV2PWFTY00, 3, 1491851857059, stimulus, square, small, red, striped, , N, 4211
A2R8IV2PWFTY00, 4, 1491851861291, stimulus, square, big, red, striped, , N, 4229
A2R8IV2PWFTY00, 5, 1491851862283, stimulus, square, big, blue, striped, , N, 990
A2R8IV2PWFTY00, 6, 1491851864139, stimulus, triangle, small, red, not_striped, , N, 1855
A2R8IV2PWFTY00, 7, 1491851866899, stimulus, square, big, red, not_striped, , Y, 2759
A2R8IV2PWFTY00, 8, 1491851869155, stimulus, triangle, small, red, striped, , N, 2254
A2R8IV2PWFTY00, 9, 1491851869923, stimulus, triangle, small, blue, striped, , N, 766
A2R8IV2PWFTY00, 10, 1491851871315, stimulus, square, small, blue, striped, , N, 1390
A2R8IV2PWFTY00, 11, 1491851873203, stimulus, square, small, blue, not_striped, , N, 1887
A2R8IV2PWFTY00, 12, 1491851874227, stimulus, triangle, big, red, striped, , N, 1022
A2R8IV2PWFTY00, 13, 1491851880316, stimulus, square, big, blue, not_striped, , Y, 6088
A2R8IV2PWFTY00, 14, 1491851884915, stimulus, triangle, small, blue, not_striped, , N, 4598
A2R8IV2PWFTY00, 15, 1491851886131, stimulus, square, small, red, not_striped, , Y, 1215
A2R8IV2PWFTY00, 16, 1491851886979, stimulus, triangle, big, blue, striped, , N, 846
A2R8IV2PWFTY00, 17, 1491851887803, stimulus, triangle, big, red, not_striped, , N, 823
A2R8IV2PWFTY00, 18, 1491851939543, Response, A square shape of a solid color, no matter the size.
A32QJF67JMJFKX, 0, 1491851921368, blicket, square, small, red, striped, 
A32QJF67JMJFKX, 3, 1491851952179, stimulus, square, small, blue, not_striped, , N, 2898
A32QJF67JMJFKX, 4, 1491851953524, stimulus, triangle, small, red, not_striped, , N, 1342
A32QJF67JMJFKX, 5, 1491851954660, stimulus, square, big, blue, not_striped, , N, 1134
A32QJF67JMJFKX, 6, 1491851956507, stimulus, square, big, red, striped, , Y, 1844
A32QJF67JMJFKX, 7, 1491851957675, stimulus, square, small, red, striped, , Y, 1165
A32QJF67JMJFKX, 8, 1491851958555, stimulus, triangle, big, blue, not_striped, , N, 878
A32QJF67JMJFKX, 9, 1491851959219, stimulus, triangle, small, blue, striped, , N, 660
A32QJF67JMJFKX, 10, 1491851960171, stimulus, square, small, blue, striped, , N, 946
A32QJF67JMJFKX, 11, 1491851960811, stimulus, triangle, big, red, not_striped, , N, 638
A32QJF67JMJFKX, 12, 1491851961467, stimulus, square, small, red, not_striped, , N, 652
A32QJF67JMJFKX, 13, 1491851962107, stimulus, triangle, big, blue, striped, , N, 637
A32QJF67JMJFKX, 14, 1491851962691, stimulus, triangle, big, red, striped, , N, 581
A32QJF67JMJFKX, 15, 1491851963307, stimulus, square, big, red, not_striped, , N, 613
A32QJF67JMJFKX, 16, 1491851963925, stimulus, triangle, small, red, striped, , N, 614
A32QJF67JMJFKX, 17, 1491851964515, stimulus, triangle, small, blue, not_striped, , N, 588
A32QJF67JMJFKX, 18, 1491851980855, Response, Square with red and black stripes. 
A19134KP9PBNXT, 0, 1491851974220, blicket, square, small, red, not_striped, 
A19134KP9PBNXT, 3, 1491852010395, stimulus, square, small, blue, striped, , N, 4705
A19134KP9PBNXT, 4, 1491852012178, stimulus, triangle, small, red, striped, , N, 1779
A19134KP9PBNXT, 5, 1491852015131, stimulus, square, big, blue, striped, , N, 2951
A19134KP9PBNXT, 6, 1491852016667, stimulus, square, big, red, striped, , N, 1535
A19134KP9PBNXT, 7, 1491852017963, stimulus, triangle, small, blue, not_striped, , N, 1295
A19134KP9PBNXT, 8, 1491852019331, stimulus, square, big, blue, not_striped, , N, 1367
A19134KP9PBNXT, 9, 1491852020763, stimulus, triangle, big, blue, striped, , N, 1428
A19134KP9PBNXT, 10, 1491852021994, stimulus, triangle, small, red, not_striped, , N, 1230
A19134KP9PBNXT, 11, 1491852029755, stimulus, square, small, red, striped, , N, 7760
A19134KP9PBNXT, 12, 1491852030555, stimulus, square, small, blue, not_striped, , N, 799
A19134KP9PBNXT, 13, 1491852031051, stimulus, triangle, big, red, striped, , N, 495
A19134KP9PBNXT, 14, 1491852031468, stimulus, triangle, big, blue, not_striped, , N, 416
A19134KP9PBNXT, 15, 1491852032772, stimulus, square, small, red, not_striped, , Y, 1303
A19134KP9PBNXT, 16, 1491852034524, stimulus, square, big, red, not_striped, , N, 1752
A19134KP9PBNXT, 17, 1491852035140, stimulus, triangle, big, red, not_striped, , N, 615
A19134KP9PBNXT, 18, 1491852053872, Response, a small red square with a black stroke
